Step,Time,Drone_Position,Current_Target,Distance_Error,Waypoint_Reached,Reward,Info
66,4.3368306159973145,"[0.3189723789691925, 0.43400710821151733, 1.3267120122909546]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.300917,False,-4.300917148590088,"{'tracking_error': 4.300917, 'drone_position': [0.3189723789691925, 0.43400710821151733, 1.3267120122909546], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
67,4.397679805755615,"[0.3275209665298462, 0.4468984007835388, 1.3307571411132812]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.2970433,False,-4.297043323516846,"{'tracking_error': 4.2970433, 'drone_position': [0.3275209665298462, 0.4468984007835388, 1.3307571411132812], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
68,4.460195064544678,"[0.33586829900741577, 0.4602232575416565, 1.3349744081497192]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.2935495,False,-4.293549537658691,"{'tracking_error': 4.2935495, 'drone_position': [0.33586829900741577, 0.4602232575416565, 1.3349744081497192], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
69,4.52172327041626,"[0.3440878391265869, 0.47369691729545593, 1.3395171165466309]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.290258,False,-4.290257930755615,"{'tracking_error': 4.290258, 'drone_position': [0.3440878391265869, 0.47369691729545593, 1.3395171165466309], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
70,4.584536075592041,"[0.3523675799369812, 0.48710164427757263, 1.3443090915679932]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.286924,False,-4.286923885345459,"{'tracking_error': 4.286924, 'drone_position': [0.3523675799369812, 0.48710164427757263, 1.3443090915679932], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
71,4.646733522415161,"[0.3608592450618744, 0.5003790259361267, 1.3491750955581665]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.2834015,False,-4.2834014892578125,"{'tracking_error': 4.2834015, 'drone_position': [0.3608592450618744, 0.5003790259361267, 1.3491750955581665], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
72,4.708145618438721,"[0.36964982748031616, 0.5135816335678101, 1.353947401046753]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.279643,False,-4.2796430587768555,"{'tracking_error': 4.279643, 'drone_position': [0.36964982748031616, 0.5135816335678101, 1.353947401046753], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
73,4.770813465118408,"[0.37876811623573303, 0.5268428921699524, 1.358487844467163]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.275684,False,-4.275683879852295,"{'tracking_error': 4.275684, 'drone_position': [0.37876811623573303, 0.5268428921699524, 1.358487844467163], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
74,4.833564519882202,"[0.3881555199623108, 0.5403687357902527, 1.3627160787582397]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.2716627,False,-4.271662712097168,"{'tracking_error': 4.2716627, 'drone_position': [0.3881555199623108, 0.5403687357902527, 1.3627160787582397], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
75,4.895687580108643,"[0.39763814210891724, 0.5543718934059143, 1.366685152053833]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.2678185,False,-4.267818450927734,"{'tracking_error': 4.2678185, 'drone_position': [0.39763814210891724, 0.5543718934059143, 1.366685152053833], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
